id;fecha;hora;avenida_id;tipo_id;nivel_gravedad;victimas_fatales;heridos;num_vehiculos;dia_semana;es_fin_de_semana;usuario_id;observaciones;
1;03/01/2024;7:15;1;1;media;0;1;2;miercoles;False;1;Colision multiple en hora pico;
2;05/01/2024;18:10;7;3;alta;1;2;2;sabado;True;2;Vuelco por exceso de velocidad;
3;07/01/2024;8:05;1;2;alta;0;0;3;lunes;False;1;Atropello en paso peatonal;
4;09/01/2024;19:20;2;1;media;0;1;2;miercoles;False;2;Colision entre dos autos;
5;11/01/2024;14:30;3;1;media;0;0;3;viernes;False;2;Choque leve; colonia residencial
6;13/01/2024;7:45;1;1;media;0;1;2;sabado;True;1;Colision por distraccion;
7;15/01/2024;17:25;7;1;alta;1;3;3;lunes;False;2;Colision multiple en ruta;
8;17/01/2024;9:00;4;4;baja;0;0;2;miercoles;False;3;Choque con poste;
9;19/01/2024;18:45;8;3;alta;0;2;3;viernes;False;1;Vuelco en curva;
10;21/01/2024;8:30;6;2;alta;0;1;2;lunes;False;3;Atropello en zona comercial;
11;02/02/2024;7:10;1;1;media;0;0;3;viernes;False;2;Colision lateral;
12;04/02/2024;18:05;7;3;alta;2;3;2;domingo;True;1;Vuelco con multiple impacto;
13;06/02/2024;8:50;1;2;alta;0;1;3;miercoles;False;3;Atropello con lesion leve;
14;08/02/2024;17:40;2;1;media;0;0;2;jueves;False;2;Colision en interseccion;
15;10/02/2024;12:15;3;1;media;0;0;2;sabado;True;2;Choque por alcance;
16;12/02/2024;7:55;1;1;media;0;1;3;lunes;False;1;Colision con colectivo involucrado;
17;14/02/2024;18:30;7;1;alta;1;2;2;miercoles;False;2;Accidente por alta velocidad;
18;16/02/2024;9:20;4;2;alta;0;0;2;viernes;False;3;Atropello en cruce no semaforizado;
19;18/02/2024;19:10;8;3;alta;0;1;3;domingo;True;1;Vuelco en ruta provincial;
20;20/02/2024;8:05;6;2;alta;0;0;2;martes;False;2;Peaton lesionado en vereda;
21;02/03/2024;7:35;1;1;media;0;1;2;sabado;True;1;Colision multiple en hora pico;
22;04/03/2024;17:15;7;3;alta;1;2;3;lunes;False;2;Vuelco con camion involucrado;
23;06/03/2024;8:10;1;1;media;0;0;2;miercoles;False;3;Alcance entre vehiculos;
24;08/03/2024;18:50;2;1;media;0;1;3;viernes;False;2;Choque por maniobra incorrecta;
25;10/03/2024;10:30;3;4;baja;0;0;2;domingo;True;3;Choque con objeto fijo en barrio;
26;12/03/2024;7:05;1;2;alta;0;1;3;martes;False;1;Atropello en paso escolar;
27;14/03/2024;17:40;7;1;alta;2;3;2;jueves;False;2;Colision frontal en ruta;
28;16/03/2024;9:05;4;1;media;0;0;2;sabado;True;3;Colision leve en salida comercial;
29;18/03/2024;19:30;8;3;alta;0;2;3;lunes;False;1;Vuelco por perdida de control;
30;20/03/2024;8:25;6;2;alta;0;1;2;miercoles;False;2;Atropello nocturno;
31;02/04/2024;7:20;1;1;media;0;0;3;martes;False;1;Colision en interseccion comercial;
32;04/04/2024;17:55;7;3;alta;1;2;2;jueves;False;2;Vuelco con lesionados;
33;06/04/2024;9:40;1;2;alta;0;1;2;sabado;True;3;Atropello en avenida central;
34;08/04/2024;18:00;2;1;media;0;0;3;lunes;False;2;Choque por semaforo dañado;
35;10/04/2024;11:20;3;1;media;0;0;2;miercoles;False;2;Colision entre vehiculos livianos;
36;12/04/2024;7:50;1;1;media;0;1;2;viernes;False;1;Colision con colectivo de linea;
37;14/04/2024;17:10;7;1;alta;1;3;3;domingo;True;2;Accidente multiple en ruta;
38;16/04/2024;9:15;4;4;baja;0;0;2;martes;False;3;Choque contra mobiliario urbano;
39;18/04/2024;19:05;8;3;alta;0;2;2;jueves;False;1;Vuelco en maniobra evasiva;
40;20/04/2024;8:45;6;2;alta;0;1;3;sabado;True;2;Atropello en cruce peatonal;
41;02/05/2024;7:05;1;1;media;0;0;2;jueves;False;3;Colision por alcance en hora pico;
42;04/05/2024;18:20;7;3;alta;1;2;3;sabado;True;2;Vuelco con camiones involucrados;
43;06/05/2024;8:55;1;2;alta;0;1;2;lunes;False;1;Atropello con lesion moderada;
44;08/05/2024;17:35;2;1;media;0;0;3;miercoles;False;2;Colision en interseccion;
45;10/05/2024;12:05;3;1;media;0;0;2;viernes;False;3;Accidente leve en zona residencial;
46;12/05/2024;7:40;1;1;media;0;1;3;domingo;True;1;Colision con transporte publico;
47;14/05/2024;18:55;7;1;alta;1;2;2;martes;False;2;Choque frontal en ruta;
48;16/05/2024;9:35;4;2;alta;0;0;2;jueves;False;3;Atropello en zona comercial;
49;18/05/2024;19:25;8;3;alta;0;1;3;sabado;True;1;Vuelco por exceso de velocidad;
50;20/05/2024;8:10;6;2;alta;0;0;2;lunes;False;2;Atropello en vereda;
51;02/06/2024;7:30;1;1;media;0;0;3;domingo;True;1;Colision multiple en hora pico;
52;04/06/2024;17:05;7;3;alta;1;3;2;miercoles;False;2;Vuelco con lesionados graves;
53;06/06/2024;9:00;1;2;alta;0;1;2;viernes;False;3;Atropello en cruce escolar;
54;08/06/2024;18:40;2;1;media;0;0;3;sabado;True;2;Choque por distraccion;
55;10/06/2024;10:50;3;4;baja;0;0;2;lunes;False;3;Choque con objeto fijo en barrio;
56;12/06/2024;7:55;1;1;media;0;1;2;miercoles;False;1;Colision con colectivo interurbano;
57;14/06/2024;17:20;7;1;alta;1;2;3;viernes;False;2;Accidente multiple en autopista;
58;16/06/2024;9:45;4;1;media;0;0;2;domingo;True;3;Colision en salida comercial;
59;18/06/2024;19:15;8;3;alta;0;2;2;martes;False;1;Vuelco en ruta por maniobra evasiva;
60;20/06/2024;8:00;6;2;alta;0;1;3;jueves;False;2;Atropello en interseccion;
